name,secs,exit,note
identity,0,0,
daemon-health,1,0,
cleanup-report,1,0,
vite-build,2,0,warm
typecheck-game,3,0,cold
typecheck-tools,2,0,cold
anycheck,1,0,
orphans,0,0,
silhouette,11,0,
silrocks,22,0,
geocheck,3,0,
hydrocheck,14,0,
floatcheck,96,1,
reachcheck,263,0,
horizoncheck,0,0,
shoot-1-first,19,0,run1
shoot-1-again,1,0,cache-hit
shoot-5-batch,21,0,
shoot-1-cold,23,0,--cold
imgdiff,0,1,
imagestats,1,0,
roadcheck,16,0,
integration,40,1,
uxcheck,151,1,
creaturecheck,17,0,
combatloop,87,0,retry
heightcheck,12,0,via-check
driftcheck,11,1,via-check
check-full,535,0,
perf,704,2,
gameplay,76,3,
